name,Gender,Face_Diameter,Glass_material,Wire_material,Apparatus,Waterproof,Origin,agency,Price
   CA-EFR-S108D-7AVUDF,Đồng hồ nam,40mm,KínhSaphire,Thép không gỉ,Quartz (Pin),10ATM,Nhật Bản,Casio,4.131.000đ
   CA-EFR-S108D-1AVUDF,Đồng hồ nam,40mm,KínhSaphire,Thép không gỉ,Quartz (Pin),10ATM,Nhật Bản,Casio,4.131.000đ
  CA-EFR-552D-1A3VUDF,Đồng hồ nam,47mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
   CA-EFR-552D-1A2VUDF,Đồng hồ nam,47mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFR-546L-2AVUDF,Đồng hồ nam,47mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.420.000đ
 EDIFICE  NAM CA-EFR-527D-7AVUDF,Đồng hồ nam,41mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.176.100đ
  CA-EFR-526L-2AVUDF,Đồng hồ nam,48.5mm,Kínhkhoáng,,Quartz (Pin),10ATM,Nhật Bản,Casio,3.020.400đ
  CA-DW-5600BB-1DR,Đồng hồ nam,8.9mm x 42.8mm,Krysternacrystal(kínhcứng),,Quartz (Pin),20ATM,Nhật Bản,Casio,3.020.400đ
  CA-A159WGEA-1DF,Đồng hồ nam,36.5mm,Kínhkhoáng,,Quartz (Pin),3ATM,Nhật Bản,Casio,1.643.400đ
  JL-1-1936B,Nam,40 mm,hardenedcrystexcrystal(Kínhcứng),Dây da,Quartz (Điện tử),5  ATM,Áo,Jacques lemans,3.366.000đ
  PA5019B,Đồng hồ Nam,42 mm,TrángSapphire,Thép không gỉ,Quartz/Pin,5 ATM,Nhật Bản,Philippe Auguste,4.596.300đ
  E-3390.152.22.10.32,Đồng hồ Nam,41mm,Kínhsapphire,Thép không gỉ mạ PVD,Automatic (Cơ tự động),5ATM,Thụy Sỹ,Epos Swiss,38.340.000đ
